Designator,Footprint,Quantity,Value,LCSC Part #
BT1,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,LiPO,
C1,0201,1,22uF,
"C10, C11, C6, C7",0201,4,0.1uF,
"C4, C8",0201,2,1uF,
"C5, C9",0201,2,10uF,
CR1,SOT23-5L_STM,1,LD2980ABM33TR,
D1,0201,1,RED,
D2,0201,1,GREEN,
D3,0201,1,BLUE,
GPS_ANT,Pin_D1.0mm_L10.0mm,1,Pin_D1.0mm_L10.0mm,
IC1,ESP32S2MINI2N4R2,1,ESP32-S2-MINI-2-N4R2,
"J1, J2",CONN_1725672_PXC,2,Conn_01x04_Pin,
J3,PinSocket_1x06_P2.54mm_Vertical,1,Conn_01x06_Pin,
J4,PinSocket_2x04_P2.54mm_Vertical,1,Conn_02x04_Odd_Even,
Q1,DMP3099L-7_DIO,1,PMOS,
"Q2, Q3",SOT-23_MCC,2,NMOS,
R1,0201,1,110,
"R10, R6",0201,2,1k,
"R11, R5, R7, R9",0201,4,100k,
"R12, R8",0201,2,27k,
"R2, R3",0201,2,50,
R4,0201,1,10k,
SW1,SW_PTS636_CNK,1,PTS636 SM50J SMTR LFS,
"TP1, TP2",TestPoint_Pad_D2.5mm,2,TestPoint,
"TP10, TP11, TP12, TP14, TP15, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded,12,TestPoint,
U1,W25Q16JVSSIQ_WIN,1,W25Q16JVSSIQ,
U2,MOD18_MAX-M10M_UBL,1,MAX-M10M-00B,
U4,QFN_BMI085_BOS,1,BMI088,
U5,MMC5983MA_MEM,1,MMC5983MA,
U6,SON8_MS5611_TEC,1,MS560702BA03-50,
