Designator,Mid X,Mid Y,Rotation,Layer
BT1,44.215,-18.81,0.0,top
C1,57.975,-26.48,270.0,top
C10,39.275,-48.975,270.0,top
C11,56.87,-56.11,0.0,top
C4,63.905,-54.93,90.0,top
C5,64.4175,-35.2,0.0,top
C6,64.425,-34.125,0.0,top
C7,47.027346,-46.168699,90.0,top
C8,46.475,-59.8,90.0,top
C9,51.650001,-60.320001,90.0,top
CR1,61.1562,-27.549999,0.0,top
D1,60.325,-32.63,90.0,top
D2,59.125,-32.615,90.0,top
D3,58.575,-54.9,180.0,top
GPS_ANT,24.4,-52.5,0.0,top
IC1,59.775,-44.3,270.0,top
J1,51.915,-29.675,270.0,top
J2,36.1,-29.78,270.0,top
J3,60.205,-69.515,90.0,top
J4,44.465,-68.245,90.0,top
Q1,44.715,-29.81,270.0,top
Q2,45.2465,-38.475,180.0,top
Q3,37.04615,-38.416,180.0,top
R1,60.325,-31.035,270.0,top
R10,36.425,-41.2,180.0,top
R11,39.7,-36.65,90.0,top
R12,40.75,-36.65,270.0,top
R2,59.125,-31.035,270.0,top
R3,56.925,-54.9,0.0,top
R4,63.555,-56.225,180.0,top
R5,44.61,-42.175,180.0,top
R6,44.605,-41.2,180.0,top
R7,48.05,-36.68,90.0,top
R8,49.025,-36.68,270.0,top
R9,36.425,-42.125,180.0,top
SW1,66.525,-57.8,90.0,top
TP10,29.9,-39.7,0.0,top
TP11,24.8,-39.7,0.0,top
TP12,19.7,-39.7,0.0,top
TP14,59.8,-75.6,0.0,top
TP15,37.1,-75.7,0.0,top
TP3,52.315,-75.61,0.0,top
TP4,48.515,-75.61,0.0,top
TP5,56.115,-75.61,0.0,top
TP6,50.515,-21.11,0.0,top
TP7,55.215,-21.11,0.0,top
TP8,44.715,-75.61,0.0,top
TP9,40.915,-75.61,0.0,top
U1,57.8,-61.35,90.0,top
U2,38.8258,-58.475,180.0,top
U4,44.607346,-46.974999,270.0,top
U5,48.75,-60.5,0.0,top
U6,36.525,-46.975,180.0,top
